fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,pH,sulphates,alcohol,quality,density-kg/m^3,quality classification,Red,White
6.8,0.67,0.02,1.8,0.05,5.0,0.01152073732718894,3.48,0.52,9.5,5,996.1999999999999,Mala,1,0
4.6,0.52,0.15,2.1,0.054,8.0,0.1359447004608295,3.9,0.56,13.1,4,993.4,Mala,1,0
7.7,0.935,0.43,2.2,0.114,22.0,0.2488479262672811,3.25,0.73,9.2,5,997.0,Mala,1,0
8.7,0.29,0.52,1.6,0.113,12.0,0.07142857142857142,3.25,0.58,9.5,5,996.9,Mala,1,0
6.4,0.4,0.23,1.6,0.066,5.0,0.013824884792626729,3.34,0.56,9.2,5,995.8000000000001,Mala,1,0
5.6,0.31,0.37,1.4,0.074,12.0,0.2073732718894009,3.32,0.58,9.2,5,995.4,Mala,1,0
8.8,0.66,0.26,1.7,0.074,4.0,0.03917050691244239,3.15,0.74,9.2,5,997.1,Mala,1,0
6.6,0.52,0.04,2.2,0.069,8.0,0.020737327188940093,3.4,0.63,9.4,6,995.6,Media,1,0
6.6,0.5,0.04,2.1,0.068,6.0,0.018433179723502304,3.39,0.64,9.4,6,995.5,Media,1,0
8.6,0.38,0.36,3.0,0.081,30.0,0.26036866359447003,3.2,0.56,9.4,5,997.0,Mala,1,0
7.6,0.51,0.15,2.8,0.11,33.0,0.1543778801843318,3.17,0.63,10.2,6,995.5,Media,1,0
7.7,0.62,0.04,3.8,0.084,25.0,0.08986175115207373,3.34,0.53,9.5,5,997.8000000000001,Mala,1,0
10.2,0.42,0.57,3.4,0.07,4.0,0.009216589861751152,3.04,0.63,9.6,5,997.1,Mala,1,0
7.5,0.63,0.12,5.1,0.111,50.0,0.23963133640552994,3.26,0.77,9.4,5,998.3,Mala,1,0
7.8,0.59,0.18,2.3,0.076,17.0,0.11059907834101383,3.43,0.59,10.0,5,997.5,Mala,1,0
7.3,0.39,0.31,2.4,0.074,9.0,0.09216589861751152,3.41,0.54,9.4,6,996.1999999999999,Media,1,0
8.8,0.4,0.4,2.2,0.079,19.0,0.10599078341013825,3.44,0.64,9.2,5,998.0,Mala,1,0
7.7,0.69,0.49,1.8,0.115,20.0,0.24423963133640553,3.21,0.71,9.3,5,996.8000000000001,Mala,1,0
7.5,0.52,0.16,1.9,0.085,12.0,0.06682027649769585,3.38,0.62,9.5,7,996.8000000000001,Media,1,0
7.0,0.735,0.05,2.0,0.081,13.0,0.11059907834101383,3.39,0.57,9.8,5,996.6,Mala,1,0
7.2,0.725,0.05,4.65,0.086,4.0,0.01152073732718894,3.41,0.39,10.9,5,996.1999999999999,Mala,1,0
7.2,0.725,0.05,4.65,0.086,4.0,0.01152073732718894,3.41,0.39,10.9,5,996.1999999999999,Mala,1,0
7.5,0.52,0.11,1.5,0.079,11.0,0.07603686635944701,3.42,0.58,9.6,5,996.8000000000001,Mala,1,0
6.6,0.705,0.07,1.6,0.076,6.0,0.020737327188940093,3.44,0.58,10.7,5,996.1999999999999,Mala,1,0
9.3,0.32,0.57,2.0,0.074,27.0,0.1359447004608295,3.28,0.79,10.7,5,996.9,Mala,1,0
8.0,0.705,0.05,1.9,0.074,8.0,0.029953917050691243,3.34,0.95,10.5,6,996.1999999999999,Media,1,0
7.7,0.63,0.08,1.9,0.076,15.0,0.04838709677419355,3.32,0.54,9.5,6,996.7,Media,1,0
7.7,0.67,0.23,2.1,0.088,17.0,0.2073732718894009,3.32,0.48,9.5,5,996.1999999999999,Mala,1,0
7.7,0.69,0.22,1.9,0.084,18.0,0.20276497695852536,3.31,0.48,9.5,5,996.1,Mala,1,0
8.3,0.675,0.26,2.1,0.084,11.0,0.08525345622119816,3.31,0.53,9.2,4,997.6,Mala,1,0
9.7,0.32,0.54,2.5,0.094,28.0,0.1774193548387097,3.28,0.82,9.6,5,998.4,Mala,1,0
8.8,0.41,0.64,2.2,0.093,9.0,0.08294930875576037,3.54,0.66,10.5,5,998.6,Mala,1,0
8.8,0.41,0.64,2.2,0.093,9.0,0.08294930875576037,3.54,0.66,10.5,5,998.6,Mala,1,0
6.8,0.785,0.0,2.4,0.104,14.0,0.055299539170506916,3.52,0.55,10.7,6,996.6,Media,1,0
6.7,0.75,0.12,2.0,0.086,12.0,0.17050691244239632,3.38,0.52,10.1,5,995.8000000000001,Mala,1,0
8.3,0.625,0.2,1.5,0.08,27.0,0.26036866359447003,3.16,1.12,9.1,4,997.1999999999999,Mala,1,0
6.2,0.45,0.2,1.6,0.069,3.0,0.020737327188940093,3.41,0.56,9.2,5,995.8000000000001,Mala,1,0
7.8,0.43,0.7,1.9,0.4639999999999999,22.0,0.14055299539170507,3.13,1.28,9.4,5,997.4,Mala,1,0
7.4,0.5,0.47,2.0,0.086,21.0,0.1543778801843318,3.36,0.57,9.1,5,997.0,Mala,1,0
7.3,0.67,0.26,1.8,0.401,16.0,0.10368663594470046,3.16,1.14,9.4,5,996.9,Mala,1,0
6.3,0.3,0.48,1.8,0.069,18.0,0.12672811059907835,3.44,0.78,10.3,6,995.9,Media,1,0
6.9,0.55,0.15,2.2,0.076,19.0,0.07834101382488479,3.41,0.59,10.1,5,996.1,Mala,1,0
8.6,0.49,0.28,1.9,0.11,20.0,0.2995391705069124,2.93,1.95,9.9,6,997.1999999999999,Media,1,0
7.7,0.49,0.26,1.9,0.062,9.0,0.0576036866359447,3.39,0.64,9.6,5,996.6,Mala,1,0
9.3,0.39,0.44,2.1,0.107,34.0,0.27419354838709675,3.14,1.22,9.5,5,997.8000000000001,Mala,1,0
7.0,0.62,0.08,1.8,0.076,8.0,0.041474654377880185,3.48,0.53,9.0,5,997.8000000000001,Mala,1,0
7.9,0.52,0.26,1.9,0.079,42.0,0.3087557603686636,3.23,0.54,9.5,5,996.4,Mala,1,0
8.6,0.49,0.28,1.9,0.11,20.0,0.2995391705069124,2.93,1.95,9.9,6,997.1999999999999,Media,1,0
8.6,0.49,0.29,2.0,0.11,19.0,0.2926267281105991,2.93,1.98,9.8,5,997.1999999999999,Mala,1,0
7.7,0.49,0.26,1.9,0.062,9.0,0.0576036866359447,3.39,0.64,9.6,5,996.6,Mala,1,0
5.0,1.02,0.04,1.4,0.045,41.0,0.18202764976958524,3.75,0.48,10.5,4,993.8000000000001,Mala,1,0
4.7,0.6,0.17,2.3,0.0579999999999999,17.0,0.2304147465437788,3.85,0.6,12.9,6,993.1999999999999,Media,1,0
6.8,0.775,0.0,3.0,0.102,8.0,0.03917050691244239,3.45,0.56,10.7,5,996.5,Mala,1,0
7.0,0.5,0.25,2.0,0.07,3.0,0.03686635944700461,3.25,0.63,9.2,5,996.3,Mala,1,0
7.6,0.9,0.06,2.5,0.079,5.0,0.009216589861751152,3.39,0.56,9.8,5,996.7,Mala,1,0
8.1,0.545,0.18,1.9,0.08,13.0,0.06682027649769585,3.3,0.59,9.0,6,997.1999999999999,Media,1,0
8.3,0.61,0.3,2.1,0.084,11.0,0.10138248847926268,3.4,0.61,10.2,6,997.1999999999999,Media,1,0
7.8,0.5,0.3,1.9,0.075,8.0,0.03686635944700461,3.31,0.56,10.4,6,995.9,Media,1,0
8.1,0.545,0.18,1.9,0.08,13.0,0.06682027649769585,3.3,0.59,9.0,6,997.1999999999999,Media,1,0
8.1,0.575,0.22,2.1,0.077,12.0,0.1359447004608295,3.29,0.51,9.2,5,996.7,Mala,1,0
7.2,0.49,0.24,2.2,0.07,5.0,0.06912442396313365,3.33,0.48,9.4,5,996.0,Mala,1,0
8.1,0.575,0.22,2.1,0.077,12.0,0.1359447004608295,3.29,0.51,9.2,5,996.7,Mala,1,0
7.8,0.41,0.68,1.7,0.467,18.0,0.14516129032258066,3.08,1.31,9.3,5,997.3,Mala,1,0
6.2,0.63,0.31,1.7,0.088,15.0,0.1336405529953917,3.46,0.79,9.3,5,996.9,Mala,1,0
8.0,0.33,0.53,2.5,0.091,18.0,0.17050691244239632,3.37,0.8,9.6,6,997.6,Media,1,0
8.1,0.785,0.52,2.0,0.122,37.0,0.3387096774193548,3.21,0.69,9.3,5,996.9,Mala,1,0
7.8,0.56,0.19,1.8,0.104,12.0,0.0944700460829493,3.19,0.93,9.5,5,996.4,Mala,1,0
8.4,0.62,0.09,2.2,0.084,11.0,0.2350230414746544,3.15,0.66,9.8,5,996.4,Mala,1,0
8.4,0.6,0.1,2.2,0.085,14.0,0.24193548387096775,3.15,0.66,9.8,5,996.4,Mala,1,0
10.1,0.31,0.44,2.3,0.08,22.0,0.09216589861751152,3.32,0.67,9.7,6,998.8000000000001,Media,1,0
7.8,0.56,0.19,1.8,0.104,12.0,0.0944700460829493,3.19,0.93,9.5,5,996.4,Mala,1,0
9.4,0.4,0.31,2.2,0.09,13.0,0.12903225806451613,3.07,0.63,10.5,6,996.6,Media,1,0
8.3,0.54,0.28,1.9,0.077,11.0,0.07834101382488479,3.39,0.61,10.0,6,997.8000000000001,Media,1,0
7.8,0.56,0.12,2.0,0.0819999999999999,7.0,0.05069124423963134,3.37,0.5,9.4,6,997.0,Media,1,0
8.8,0.55,0.04,2.2,0.119,14.0,0.1152073732718894,3.21,0.6,10.9,6,996.1999999999999,Media,1,0
7.0,0.69,0.08,1.8,0.0969999999999999,22.0,0.1912442396313364,3.34,0.54,9.2,6,995.9,Media,1,0
7.3,1.07,0.09,1.7,0.178,10.0,0.1912442396313364,3.3,0.57,9.0,5,996.1999999999999,Mala,1,0
8.8,0.55,0.04,2.2,0.119,14.0,0.1152073732718894,3.21,0.6,10.9,6,996.1999999999999,Media,1,0
7.3,0.695,0.0,2.5,0.075,3.0,0.016129032258064516,3.49,0.52,9.2,5,998.0,Mala,1,0
8.0,0.71,0.0,2.6,0.08,11.0,0.06451612903225806,3.44,0.53,9.5,5,997.6,Mala,1,0
7.8,0.5,0.17,1.6,0.0819999999999999,21.0,0.22119815668202766,3.39,0.48,9.5,5,996.0,Mala,1,0
9.0,0.62,0.04,1.9,0.146,27.0,0.1935483870967742,3.16,0.7,9.4,5,998.4,Mala,1,0
8.2,1.33,0.0,1.7,0.081,3.0,0.013824884792626729,3.53,0.49,10.9,5,996.4,Mala,1,0
8.1,1.33,0.0,1.8,0.0819999999999999,3.0,0.013824884792626729,3.54,0.48,10.9,5,996.4,Mala,1,0
8.0,0.59,0.16,1.8,0.065,3.0,0.02304147465437788,3.42,0.92,10.5,7,996.1999999999999,Media,1,0
6.1,0.38,0.15,1.8,0.072,6.0,0.029953917050691243,3.42,0.57,9.4,5,995.5,Mala,1,0
8.0,0.745,0.56,2.0,0.118,30.0,0.29493087557603687,3.24,0.66,9.4,5,996.8000000000001,Mala,1,0
5.6,0.5,0.09,2.3,0.049,17.0,0.21428571428571427,3.63,0.63,13.0,5,993.7,Mala,1,0
5.6,0.5,0.09,2.3,0.049,17.0,0.21428571428571427,3.63,0.63,13.0,5,993.7,Mala,1,0
6.6,0.5,0.01,1.5,0.06,17.0,0.04608294930875576,3.4,0.58,9.8,6,995.1999999999999,Media,1,0
7.9,1.04,0.05,2.2,0.084,13.0,0.052995391705069124,3.22,0.55,9.9,6,995.9,Media,1,0
8.4,0.745,0.11,1.9,0.09,16.0,0.1313364055299539,3.19,0.82,9.6,5,996.5,Mala,1,0
8.3,0.715,0.15,1.8,0.089,10.0,0.10599078341013825,3.23,0.77,9.5,5,996.8000000000001,Mala,1,0
7.2,0.415,0.36,2.0,0.081,13.0,0.08986175115207373,3.48,0.64,9.2,5,997.1999999999999,Mala,1,0
7.8,0.56,0.19,2.1,0.081,15.0,0.22811059907834103,3.33,0.54,9.5,5,996.1999999999999,Mala,1,0
7.8,0.56,0.19,2.0,0.081,17.0,0.2350230414746544,3.32,0.54,9.5,5,996.1999999999999,Mala,1,0
8.4,0.745,0.11,1.9,0.09,16.0,0.1313364055299539,3.19,0.82,9.6,5,996.5,Mala,1,0
8.3,0.715,0.15,1.8,0.089,10.0,0.10599078341013825,3.23,0.77,9.5,5,996.8000000000001,Mala,1,0
5.2,0.34,0.0,1.8,0.05,27.0,0.1313364055299539,3.68,0.79,14.0,6,991.6,Media,1,0
6.3,0.39,0.08,1.7,0.066,3.0,0.03225806451612903,3.34,0.58,9.4,5,995.4,Mala,1,0
5.2,0.34,0.0,1.8,0.05,27.0,0.1313364055299539,3.68,0.79,14.0,6,991.6,Media,1,0
8.1,0.67,0.55,1.8,0.1169999999999999,32.0,0.31105990783410137,3.17,0.62,9.4,5,996.8000000000001,Mala,1,0
5.8,0.68,0.02,1.8,0.087,21.0,0.20276497695852536,3.54,0.52,10.0,5,994.4,Mala,1,0
7.6,0.49,0.26,1.6,0.236,10.0,0.1889400921658986,3.11,0.8,9.3,5,996.8000000000001,Mala,1,0
6.9,0.49,0.1,2.3,0.074,12.0,0.055299539170506916,3.42,0.58,10.2,6,995.9,Media,1,0
8.2,0.4,0.44,2.8,0.089,11.0,0.08525345622119816,3.53,0.61,10.5,6,997.5,Media,1,0
7.3,0.33,0.47,2.1,0.077,5.0,0.01152073732718894,3.33,0.53,10.3,6,995.8000000000001,Media,1,0
9.2,0.52,1.0,3.4,0.61,32.0,0.14516129032258066,2.74,2.0,9.4,4,999.6,Mala,1,0
7.5,0.6,0.03,1.8,0.095,25.0,0.21428571428571427,3.35,0.54,10.1,5,995.0,Mala,1,0
7.5,0.6,0.03,1.8,0.095,25.0,0.21428571428571427,3.35,0.54,10.1,5,995.0,Mala,1,0
7.1,0.43,0.42,5.5,0.07,29.0,0.2834101382488479,3.42,0.72,10.5,5,997.3,Mala,1,0
7.1,0.43,0.42,5.5,0.071,28.0,0.28110599078341014,3.42,0.71,10.5,5,997.3,Mala,1,0
7.1,0.43,0.42,5.5,0.07,29.0,0.2834101382488479,3.42,0.72,10.5,5,997.3,Mala,1,0
7.1,0.43,0.42,5.5,0.071,28.0,0.28110599078341014,3.42,0.71,10.5,5,997.3,Mala,1,0
7.1,0.68,0.0,2.2,0.073,12.0,0.03686635944700461,3.48,0.5,9.3,5,996.9,Mala,1,0
6.8,0.6,0.18,1.9,0.079,18.0,0.18433179723502305,3.59,0.57,9.3,6,996.8000000000001,Media,1,0
7.6,0.95,0.03,2.0,0.09,7.0,0.03225806451612903,3.2,0.56,9.6,5,995.9,Mala,1,0
7.6,0.68,0.02,1.3,0.072,9.0,0.03225806451612903,3.17,1.08,9.2,4,996.5,Mala,1,0
7.8,0.53,0.04,1.7,0.076,17.0,0.0576036866359447,3.33,0.56,10.0,6,996.4,Media,1,0
7.4,0.6,0.26,7.3,0.07,36.0,0.26497695852534564,3.37,0.49,9.4,5,998.1999999999999,Mala,1,0
7.3,0.59,0.26,7.2,0.07,35.0,0.26497695852534564,3.37,0.49,9.4,5,998.1,Mala,1,0
7.8,0.63,0.48,1.7,0.1,14.0,0.2073732718894009,3.19,0.62,9.5,5,996.1,Mala,1,0
6.8,0.64,0.1,2.1,0.085,18.0,0.21889400921658986,3.34,0.52,10.2,5,995.6,Mala,1,0
7.3,0.55,0.03,1.6,0.072,17.0,0.08294930875576037,3.37,0.48,9.0,4,995.6,Mala,1,0
6.8,0.63,0.07,2.1,0.089,11.0,0.08755760368663594,3.47,0.55,10.4,6,995.3,Media,1,0
7.5,0.705,0.24,1.8,0.36,15.0,0.1313364055299539,3.0,1.59,9.5,5,996.4,Mala,1,0
7.9,0.885,0.03,1.8,0.0579999999999999,4.0,0.004608294930875576,3.36,0.33,9.1,4,997.1999999999999,Mala,1,0
8.0,0.42,0.17,2.0,0.073,6.0,0.027649769585253458,3.29,0.61,9.2,6,997.1999999999999,Media,1,0
8.0,0.42,0.17,2.0,0.073,6.0,0.027649769585253458,3.29,0.61,9.2,6,997.1999999999999,Media,1,0
7.4,0.62,0.05,1.9,0.068,24.0,0.08294930875576037,3.42,0.57,11.5,6,996.1,Media,1,0
7.3,0.38,0.21,2.0,0.08,7.0,0.06682027649769585,3.33,0.47,9.5,5,996.1,Mala,1,0
6.9,0.5,0.04,1.5,0.085,19.0,0.09907834101382489,3.35,0.78,9.5,5,995.8000000000001,Mala,1,0
7.3,0.38,0.21,2.0,0.08,7.0,0.06682027649769585,3.33,0.47,9.5,5,996.1,Mala,1,0
7.5,0.52,0.42,2.3,0.087,8.0,0.07373271889400922,3.58,0.61,10.5,6,997.1999999999999,Media,1,0
7.0,0.805,0.0,2.5,0.068,7.0,0.03225806451612903,3.48,0.56,9.6,5,996.9,Mala,1,0
8.8,0.61,0.14,2.4,0.067,10.0,0.08294930875576037,3.19,0.59,9.5,5,996.9,Mala,1,0
8.8,0.61,0.14,2.4,0.067,10.0,0.08294930875576037,3.19,0.59,9.5,5,996.9,Mala,1,0
8.9,0.61,0.49,2.0,0.27,23.0,0.23963133640552994,3.12,1.02,9.3,5,997.1999999999999,Mala,1,0
7.2,0.73,0.02,2.5,0.076,16.0,0.08294930875576037,3.44,0.52,9.3,5,997.1999999999999,Mala,1,0
6.8,0.61,0.2,1.8,0.077,11.0,0.1359447004608295,3.54,0.58,9.3,5,997.1,Mala,1,0
6.7,0.62,0.21,1.9,0.079,8.0,0.12903225806451613,3.52,0.58,9.3,6,997.0,Media,1,0
8.9,0.31,0.57,2.0,0.111,26.0,0.18202764976958524,3.26,0.53,9.7,5,997.1,Mala,1,0
7.4,0.39,0.48,2.0,0.0819999999999999,14.0,0.14055299539170507,3.34,0.55,9.2,5,997.1999999999999,Mala,1,0
7.7,0.705,0.1,2.6,0.084,9.0,0.04608294930875576,3.39,0.49,9.7,5,997.6,Mala,1,0
7.9,0.5,0.33,2.0,0.084,15.0,0.315668202764977,3.2,0.55,9.5,5,996.8000000000001,Mala,1,0
7.9,0.49,0.32,1.9,0.0819999999999999,17.0,0.31797235023041476,3.2,0.55,9.5,5,996.8000000000001,Mala,1,0
8.2,0.5,0.35,2.9,0.077,21.0,0.27880184331797236,3.23,0.62,9.4,5,997.6,Mala,1,0
6.4,0.37,0.25,1.9,0.074,21.0,0.09907834101382489,3.57,0.62,9.8,6,997.4,Media,1,0
6.8,0.63,0.12,3.8,0.099,16.0,0.2764976958525346,3.28,0.61,9.5,5,996.9,Mala,1,0
7.6,0.55,0.21,2.2,0.071,7.0,0.05069124423963134,3.28,0.55,9.7,5,996.4,Mala,1,0
7.6,0.55,0.21,2.2,0.071,7.0,0.05069124423963134,3.28,0.55,9.7,5,996.4,Mala,1,0
7.8,0.59,0.33,2.0,0.074,24.0,0.2626728110599078,3.25,0.54,9.4,5,996.8000000000001,Mala,1,0
7.3,0.58,0.3,2.4,0.074,15.0,0.11290322580645161,3.46,0.59,10.2,5,996.8000000000001,Mala,1,0
11.5,0.3,0.6,2.0,0.067,12.0,0.04838709677419355,3.11,0.97,10.1,6,998.1,Media,1,0
5.4,0.835,0.08,1.2,0.046,13.0,0.20046082949308755,3.57,0.85,13.0,7,992.4,Media,1,0
6.9,1.09,0.06,2.1,0.061,12.0,0.0576036866359447,3.51,0.43,11.4,4,994.8000000000001,Mala,1,0
9.6,0.32,0.47,1.4,0.0559999999999999,9.0,0.041474654377880185,3.22,0.82,10.3,7,996.95,Media,1,0
8.8,0.37,0.48,2.1,0.0969999999999999,39.0,0.32027649769585254,3.04,1.03,9.3,5,997.5,Mala,1,0
6.8,0.5,0.11,1.5,0.075,16.0,0.09907834101382489,3.36,0.79,9.5,5,995.4499999999999,Mala,1,0
7.0,0.42,0.35,1.6,0.088,16.0,0.07603686635944701,3.34,0.55,9.2,5,996.1,Mala,1,0
7.0,0.43,0.36,1.6,0.089,14.0,0.07142857142857142,3.34,0.56,9.2,6,996.15,Media,1,0
12.8,0.3,0.74,2.6,0.095,9.0,0.05069124423963134,3.2,0.77,10.8,7,999.4,Media,1,0
12.8,0.3,0.74,2.6,0.095,9.0,0.05069124423963134,3.2,0.77,10.8,7,999.4,Media,1,0
7.8,0.57,0.31,1.8,0.069,26.0,0.2626728110599078,3.29,0.53,9.3,5,996.25,Mala,1,0
7.8,0.44,0.28,2.7,0.1,18.0,0.20506912442396313,3.22,0.67,9.4,5,996.6,Mala,1,0
11.0,0.3,0.58,2.1,0.054,7.0,0.029953917050691243,3.31,0.88,10.5,7,998.0,Media,1,0
9.7,0.53,0.6,2.0,0.039,5.0,0.029953917050691243,3.3,0.86,12.4,6,995.85,Media,1,0
8.0,0.725,0.24,2.8,0.083,10.0,0.12903225806451613,3.35,0.56,10.0,6,996.85,Media,1,0
11.6,0.44,0.64,2.1,0.059,5.0,0.020737327188940093,3.21,0.67,10.2,6,998.0,Media,1,0
8.2,0.57,0.26,2.2,0.06,28.0,0.1359447004608295,3.3,0.43,10.1,5,995.9,Mala,1,0
7.8,0.735,0.08,2.4,0.092,10.0,0.08064516129032258,3.24,0.71,9.8,6,997.4,Media,1,0
7.0,0.49,0.49,5.6,0.06,26.0,0.26497695852534564,3.34,0.76,10.5,5,997.4,Mala,1,0
8.7,0.625,0.16,2.0,0.1009999999999999,13.0,0.09907834101382489,3.14,0.57,11.0,5,996.1999999999999,Mala,1,0
8.1,0.725,0.22,2.2,0.072,11.0,0.08064516129032258,3.36,0.55,9.1,5,996.7,Mala,1,0
7.5,0.49,0.19,1.9,0.076,10.0,0.08755760368663594,3.39,0.54,9.7,5,995.7,Mala,1,0
7.8,0.53,0.33,2.4,0.08,24.0,0.31797235023041476,3.3,0.6,9.5,5,996.5500000000001,Mala,1,0
7.8,0.34,0.37,2.0,0.0819999999999999,24.0,0.11981566820276497,3.34,0.59,9.4,6,996.4,Media,1,0
7.4,0.53,0.26,2.0,0.1009999999999999,16.0,0.15207373271889402,3.15,0.57,9.4,5,995.7,Mala,1,0
6.8,0.61,0.04,1.5,0.057,5.0,0.009216589861751152,3.42,0.6,9.5,5,995.25,Mala,1,0
8.6,0.645,0.25,2.0,0.083,8.0,0.05069124423963134,3.28,0.6,10.0,6,998.15,Media,1,0
8.4,0.635,0.36,2.0,0.089,15.0,0.11290322580645161,3.31,0.57,10.4,4,997.4499999999999,Mala,1,0
7.7,0.43,0.25,2.6,0.073,29.0,0.1313364055299539,3.37,0.58,10.5,6,996.15,Media,1,0
8.9,0.59,0.5,2.0,0.337,27.0,0.1728110599078341,3.04,1.61,9.5,6,996.4,Media,1,0
9.0,0.82,0.14,2.6,0.089,9.0,0.03917050691244239,3.39,0.63,9.8,5,998.4,Mala,1,0
